Source,Target
JANE DOE,DONALD J. TRUMP
Donald J.,Jane Doe
Jeffrey E. Epstein,Trump
Jeffrey E. Epstein,Donald J. Trump
Defendant Trump,Plaintiff
Maria,Plaintiff
Jeffrey E. Epstein,Donald J. Trump
JEFFREY E. EPSTEIN,DONALD J. TRUMP
JEFFREY E. EPSTEIN,DONALD J. TRUMP
Port Authority,Tiffany
Jeffrey Epstein,Donald Trump
Port Authority,Mr. Epstein
Maria,Mr. Trump
Mr. Trump,Mr. Epstein
